symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
btc,Bitcoin,61705.0,1237357711594,29628787688.0,-0.18117,2026-07-03 14:16:17
eth,Ethereum,1733.99,209310149362,10736784965.0,1.37431,2026-07-03 14:16:17
usdt,Tether,0.998958,184095289475,48264853353.0,0.02045,2026-07-03 14:16:17
bnb,BNB,563.96,76024293279,584412737.0,0.07058,2026-07-03 14:16:17
usdc,USDC,0.999891,73112982007,10534002732.0,0.0182,2026-07-03 14:16:17
xrp,XRP,1.11,69089285104,1427938589.0,0.72205,2026-07-03 14:16:17
sol,Solana,81.24,47199603258,2271633857.0,0.14447,2026-07-03 14:16:17
trx,TRON,0.320754,30424375027,404919634.0,0.66084,2026-07-03 14:16:17
figr_heloc,Figure Heloc,1.039,20256212951,69475347.0,0.28948,2026-07-03 14:16:17
hype,Hyperliquid,69.44,15452094426,490403854.0,5.13632,2026-07-03 14:16:17
doge,Dogecoin,0.076197,11805480098,594179090.0,1.48264,2026-07-03 14:16:17
rain,Rain,0.01556055,10295989054,38875846.0,0.21983,2026-07-03 14:16:17
usds,USDS,0.999655,10125689499,128917936.0,-0.01042,2026-07-03 14:16:17
leo,LEO Token,9.16,8427688386,502242.0,0.81538,2026-07-03 14:16:17
zec,Zcash,458.23,7694245534,407867337.0,2.67708,2026-07-03 14:16:17
xlm,Stellar,0.202491,6884736630,263139583.0,0.41381,2026-07-03 14:16:17
wbt,WhiteBIT Coin,56.06,6619572059,53962933.0,0.0589,2026-07-03 14:16:17
ada,Cardano,0.170822,6365434363,518837673.0,5.75392,2026-07-03 14:16:17
xmr,Monero,317.98,5970563297,88941774.0,1.31331,2026-07-03 14:16:17
link,Chainlink,7.83,5858608564,219500104.0,-0.78571,2026-07-03 14:16:17
cc,Canton,0.138046,5379786119,9263023.0,-1.57418,2026-07-03 14:16:17
dai,Dai,0.999745,4617965937,165964382.0,0.01201,2026-07-03 14:16:17
usd1,USD1,0.99871,4593916496,804291077.0,-0.01978,2026-07-03 14:16:17
bch,Bitcoin Cash,226.96,4555793323,156429912.0,4.33324,2026-07-03 14:16:17
gram,Gram (prev. Toncoin),1.68,4553946894,50727444.0,0.35494,2026-07-03 14:16:17
usde,Ethena USDe,0.998376,4443807650,87974701.0,-0.00459,2026-07-03 14:16:17
ltc,Litecoin,43.51,3366254944,227534450.0,-0.13876,2026-07-03 14:16:17
hbar,Hedera,0.07186,3147945905,93470596.0,-3.6143,2026-07-03 14:16:17
usyc,Circle USYC,1.13,3108479631,129924.0,0.01857,2026-07-03 14:16:17
sui,Sui,0.7533,3053506500,276022667.0,0.86648,2026-07-03 14:16:17
usdg,Global Dollar,0.999953,3011328479,36448111.0,0.01091,2026-07-03 14:16:17
avax,Avalanche,6.83,2948093606,185906516.0,0.1629,2026-07-03 14:16:17
pyusd,PayPal USD,0.999879,2777355743,64418124.0,-0.00102,2026-07-03 14:16:17
near,NEAR Protocol,2.08,2705493091,241695475.0,7.28642,2026-07-03 14:16:17
cro,Cronos,0.058717,2704537004,7716141.0,4.06017,2026-07-03 14:16:17
shib,Shiba Inu,4.33e-06,2555251560,66170277.0,-0.23602,2026-07-03 14:16:17
xaut,Tether Gold,4148.35,2542157602,128420557.0,0.7795,2026-07-03 14:16:17
lab,LAB,7.26,2268535478,49578383.0,-20.67199,2026-07-03 14:16:17
buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2242107932,0.0,0.0,2026-07-03 14:16:17
usdy,Ondo US Dollar Yield,1.13,2142898162,3529747.0,-0.40565,2026-07-03 14:16:17
tao,Bittensor,214.89,2062955660,137454663.0,-1.59411,2026-07-03 14:16:17
uni,Uniswap,3.26,2026455553,275457315.0,1.7706,2026-07-03 14:16:17
m,MemeCore,1.47,1940200216,23079899.0,-13.79668,2026-07-03 14:16:17
paxg,PAX Gold,4152.47,1877522750,124074027.0,0.81639,2026-07-03 14:16:17
wlfi,World Liberty Financial,0.056972,1810800118,35647433.0,-3.26113,2026-07-03 14:16:17
aster,Aster,0.640828,1718036881,66658647.0,-0.67332,2026-07-03 14:16:17
okb,OKB,80.19,1684060915,14145743.0,-0.19387,2026-07-03 14:16:17
ondo,Ondo,0.332698,1621290202,68483643.0,-0.71236,2026-07-03 14:16:17
rlusd,Ripple USD,0.999893,1602691746,148409955.0,-0.0288,2026-07-03 14:16:17
htx,HTX DAO,1.67e-06,1515526533,44162698.0,-0.0871,2026-07-03 14:16:17
